"1944 - The Loop Master.zip","1944 - THE LOOP MASTER","1944 - THE LOOP MASTER","fbneo",
"1944.zip","1944","1944","fbneo",
"19Xx - The War Against Destiny.zip","19XX - THE WAR AGAINST DESTINY","19XX - THE WAR AGAINST DESTINY","fbneo",
"19Xx.zip","19XX","19XX","fbneo",
"Aero Fighters 2.zip","AERO FIGHTERS 2","AERO FIGHTERS 2","fbneo",
"Aeroboto.zip","AEROBOTO","AEROBOTO","fbneo",
"Aerofgts.zip","AEROFGTS","AEROFGTS","fbneo",
"Agallet.zip","AGALLET","AGALLET","fbneo",
"Aggressors Of Dark Kombat.zip","AGGRESSORS OF DARK KOMBAT","AGGRESSORS OF DARK KOMBAT","fbneo",
"Airco22b.zip","AIRCO22B","AIRCO22B","fbneo",
"Airduel.zip","AIRDUEL","AIRDUEL","fbneo",
"Airwolf.zip","AIRWOLF","AIRWOLF","fbneo",
"Ajax.zip","AJAX","AJAX","fbneo",
"Aladmdb.zip","ALADMDB","ALADMDB","fbneo",
"Alien Vs.zip","ALIEN VS","ALIEN VS","fbneo",
"Aliens.zip","ALIENS","ALIENS","fbneo",
"Allproms.zip","ALLPROMS","ALLPROMS","fbneo",
"Alpha Mission Ii.zip","ALPHA MISSION II","ALPHA MISSION II","fbneo",
"Alpine.zip","ALPINE SKI (SET 1)","ALPINE SKI (SET 1)","fbneo",
"Altbeast.zip","ALTBEAST","ALTBEAST","fbneo",
"Ambush.zip","AMBUSH","AMBUSH","fbneo",
"Amidar.zip","AMIDAR","AMIDAR","fbneo",
"Amidarjp.zip","AMIDARJP","AMIDARJP","fbneo",
"Amidars.zip","AMIDAR (SCRAMBLE HARDWARE)","AMIDAR (SCRAMBLE HARDWARE)","fbneo",
"Amigo.zip","AMIGO","AMIGO","fbneo",
"Andro Dunos.zip","ANDRO DUNOS","ANDRO DUNOS","fbneo",
"Anteater.zip","ANTEATER","ANTEATER","fbneo",
"Aodk.zip","AODK","AODK","fbneo",
"Aof.zip","AOF","AOF","fbneo",
"Aof2.zip","AOF2","AOF2","fbneo",
"Aof3.zip","AOF3","AOF3","fbneo",
"Aoh.zip","AOH","AOH","fbneo",
"Arabian.zip","ARABIAN","ARABIAN","fbneo",
"Area51.zip","AREA51","AREA51","fbneo",
"Arkabeta.zip","ARKABETA","ARKABETA","fbneo",
"Arkanoid.zip","ARKANOID (WORLD, OLDEST REV)","ARKANOID (WORLD, OLDEST REV)","fbneo",
"Arkatayt.zip","ARKANOID (TAYTO BOOTLEG)","ARKANOID (TAYTO BOOTLEG)","fbneo",
"Arkbl2.zip","ARKBL2","ARKBL2","fbneo",
"Arknoidu.zip","ARKNOIDU","ARKNOIDU","fbneo",
"Armorcar.zip","ARMORED CAR (SET 1)","ARMORED CAR (SET 1)","fbneo",
"Armored Warriors.zip","ARMORED WARRIORS","ARMORED WARRIORS","fbneo",
"Armwar.zip","ARMWAR","ARMWAR","fbneo",
"Armwaru.zip","ARMWARU","ARMWARU","fbneo",
"Art Of Fighting 2.zip","ART OF FIGHTING 2","ART OF FIGHTING 2","fbneo",
"Art Of Fighting 3 - The Path Of The Warrior.zip","ART OF FIGHTING 3 - THE PATH OF THE WARRIOR","ART OF FIGHTING 3 - THE PATH OF THE WARRIOR","fbneo",
"Astdelux.zip","ASTDELUX","ASTDELUX","fbneo",
"Asterixeac.zip","ASTERIXEAC","ASTERIXEAC","fbneo",
"Asteroi2.zip","ASTEROI2","ASTEROI2","fbneo",
"Asteroid.zip","ASTEROID","ASTEROID","fbneo",
"Astinvad.zip","ASTINVAD","ASTINVAD","fbneo",
"Astorm.zip","ASTORM","ASTORM","fbneo",
"Astrob.zip","ASTROB","ASTROB","fbneo",
"Astrob1.zip","ASTROB1","ASTROB1","fbneo",
"Astrof.zip","ASTROF","ASTROF","fbneo",
"Astrof2.zip","ASTROF2","ASTROF2","fbneo",
"Astyanax.zip","ASTYANAX","ASTYANAX","fbneo",
"Asurabld.zip","ASURABLD","ASURABLD","fbneo",
"Ataxx.zip","ATAXX","ATAXX","fbneo",
"Atetcktl.zip","ATETCKTL","ATETCKTL","fbneo",
"Atetris.zip","TETRIS (SET 1)","TETRIS (SET 1)","fbneo",
"Atetrisa.zip","TETRIS (SET 2)","TETRIS (SET 2)","fbneo",
"Atetrisb.zip","TETRIS (BOOTLEG SET 1)","TETRIS (BOOTLEG SET 1)","fbneo",
"Athena.zip","ATHENA","ATHENA","fbneo",
"Atlantis.zip","BATTLE OF ATLANTIS (SET 1)","BATTLE OF ATLANTIS (SET 1)","fbneo",
"Aurail.zip","AURAIL","AURAIL","fbneo",
"Avalnche.zip","AVALNCHE","AVALNCHE","fbneo",
"Avspirit.zip","AVSPIRIT","AVSPIRIT","fbneo",
"Avspu.zip","AVSPU","AVSPU","fbneo",
"Backfire.zip","BACKFIRE","BACKFIRE","fbneo",
"Baddudes.zip","BADDUDES","BADDUDES","fbneo",
"Badlands.zip","BADLANDS","BADLANDS","fbneo",
"Bagman.zip","BAGMAN","BAGMAN","fbneo",
"Balonfgt.zip","BALONFGT","BALONFGT","fbneo",
"Bandido.zip","BANDIDO","BANDIDO","fbneo",
"Bang Bead.zip","BANG BEAD","BANG BEAD","fbneo",
"Bang.zip","BANG","BANG","fbneo",
"Bankp.zip","BANKP","BANKP","fbneo",
"Baraduke.zip","BARADUKE","BARADUKE","fbneo",
"Baseball Stars 2.zip","BASEBALL STARS 2","BASEBALL STARS 2","fbneo",
"Baseball Stars Professional.zip","BASEBALL STARS PROFESSIONAL","BASEBALL STARS PROFESSIONAL","fbneo",
"Baseball Stars.zip","BASEBALL STARS","BASEBALL STARS","fbneo",
