"Killer Instinct Gold [5415].7z","Killer Instinct Gold [5415]","Killer Instinct Gold [5415]","n64",
"Mace - The Dark Age [5510].7z","Mace - The Dark Age [5510]","Mace - The Dark Age [5510]","n64",
"San Francisco Rush - Extreme Racing [5624].7z","San Francisco Rush - Extreme Racing [5624]","San Francisco Rush - Extreme Racing [5624]","n64",
"Wave Race 64 [5439].7z","Wave Race 64 [5439]","Wave Race 64 [5439]","n64",
"Conker's Bad Fur Day [5402].z64.7z","Conker's Bad Fur Day [5402].z64","Conker's Bad Fur Day [5402].z64","n64",
"Diddy Kong Racing [5409].z64.7z","Diddy Kong Racing [5409].z64","Diddy Kong Racing [5409].z64","n64",
"Extreme-G Xg2 [5539].7z","Extreme-G Xg2 [5539]","Extreme-G Xg2 [5539]","n64",
"F-Zero X [5418].7z","F-Zero X [5418]","F-Zero X [5418]","n64",
"Jet Force Gemini [5420].7z","Jet Force Gemini [5420]","Jet Force Gemini [5420]","n64",
"Lylat Wars [5416].z64.7z","Lylat Wars [5416].z64","Lylat Wars [5416].z64","n64",
"Mario Kart 64 [5401].7z","Mario Kart 64 [5401]","Mario Kart 64 [5401]","n64",
