"Adventures Of Lolo 3.Nes (BR) [1499].nes.7z","ADVENTURES OF LOLO 3 (BR).NES","ADVENTURES OF LOLO 3 (BR).NES","nes",
"Batman - The Video Game.Nes (BR) [1287].nes.7z","BATMAN - THE VIDEO GAME (BR).NES","BATMAN - THE VIDEO GAME (BR).NES","nes",
"Bionic Commando.Nes (BR) [1324].nes.7z","BIONIC COMMANDO (BR).NES","BIONIC COMMANDO (BR).NES","nes",
"Blaster Master.Nes (BR) [1474].nes.7z","BLASTER MASTER (BR).NES","BLASTER MASTER (BR).NES","nes",
"Bucky O'hare.Nes (BR) [1510].nes.7z","BUCKY O'HARE (BR).NES","BUCKY O'HARE (BR).NES","nes",
"Castlevania.Nes (BR) [1268].nes.7z","CASTLEVANIA (BR).NES","CASTLEVANIA (BR).NES","nes",
"Castlevania II - Simon's Quest.Nes (BR) [1281].nes.7z","CASTLEVANIA II - SIMON'S QUEST (BR).NES","CASTLEVANIA II - SIMON'S QUEST (BR).NES","nes",
"Castlevania III - Dracula's Curse.Nes (BR) [1278].nes.7z","CASTLEVANIA III - DRACULA'S CURSE (BR).NES","CASTLEVANIA III - DRACULA'S CURSE (BR).NES","nes",
"Crystalis.Nes (BR) [1538].nes.7z","CRYSTALIS (BR).NES","CRYSTALIS (BR).NES","nes",
"Double Dragon II - The Revenge.Nes (BR) [1277].nes.7z","DOUBLE DRAGON II - THE REVENGE (BR).NES","DOUBLE DRAGON II - THE REVENGE (BR).NES","nes",
"Faxanadu.Nes (BR) [1303].nes.7z","FAXANADU (BR).NES","FAXANADU (BR).NES","nes",
"Journey To Silius (BR) [1484].7z","JOURNEY TO SILIUS (BR)","JOURNEY TO SILIUS (BR)","nes",
"Legend Of Zelda, The.Nes (BR) [1250].nes.7z","LEGEND OF ZELDA, THE (BR).NES","LEGEND OF ZELDA, THE (BR).NES","nes",
"Metal Gear.Nes (BR) [1280].nes.7z","METAL GEAR (BR).NES","METAL GEAR (BR).NES","nes",
"Nightshade.Nes (BR) [1728].nes.7z","NIGHTSHADE (BR).NES","NIGHTSHADE (BR).NES","nes",
"Ninja Gaiden II - The Dark Sword Of Chaos.Nes (BR) [1451].nes.7z","NINJA GAIDEN II - THE DARK SWORD OF CHAOS (BR).NES","NINJA GAIDEN II - THE DARK SWORD OF CHAOS (BR).NES","nes",
"River City Ransom.Nes (BR) [1329].nes.7z","RIVER CITY RANSOM (BR).NES","RIVER CITY RANSOM (BR).NES","nes",
"Shadow Of The Ninja.Nes (BR) [1302].nes.7z","SHADOW OF THE NINJA (BR).NES","SHADOW OF THE NINJA (BR).NES","nes",
"Super Mario Bros.Nes (BR) [1245].nes.7z","SUPER MARIO BROS (BR).NES","SUPER MARIO BROS (BR).NES","nes",
"Super Mario Bros 3.Nes (BR) [1246].nes.7z","SUPER MARIO BROS 3 (BR).NES","SUPER MARIO BROS 3 (BR).NES","nes",
"Super Mario Bros. 2.Nes (BR) [1248].nes.7z","SUPER MARIO BROS. 2 (BR).NES","SUPER MARIO BROS. 2 (BR).NES","nes",
"Super Mario World.Nes (BR) [124553].nes.7z","SUPER MARIO WORLD (BR).NES","SUPER MARIO WORLD (BR).NES","nes",
"Sweet Home.Nes (BR) [1993].nes.7z","SWEET HOME (BR).NES","SWEET HOME (BR).NES","nes",
"Zelda II - The Adventure Of Link.Nes (BR) [1254].nes.7z","ZELDA II - THE ADVENTURE OF LINK (BR).NES","ZELDA II - THE ADVENTURE OF LINK (BR).NES","nes",
