"Vigilante 8 - 2Nd Offense (BR) [19574].chd","VIGILANTE 8 - 2ND OFFENSE (BR) [19574]","VIGILANTE 8 - 2ND OFFENSE (BR) [19574]","psx",
"Twisted Metal 4 (USA) [19888].chd","TWISTED METAL 4 (USA) [19888]","TWISTED METAL 4 (USA) [19888]","psx",
"Twisted Metal 2 (BR) [19494].chd","TWISTED METAL 2 (BR) [19494]","TWISTED METAL 2 (BR) [19494]","psx",
"Tomba! (USA) [19318].chd","TOMBA! (USA) [19318]","TOMBA! (USA) [19318]","psx",
"Tenchu - Stealth Assassins (BR) [19376].chd","TENCHU - STEALTH ASSASSINS (BR) [19376]","TENCHU - STEALTH ASSASSINS (BR) [19376]","psx",
"Tekken 3 (BR) [19280].chd","Tekken 3 (BR) [19280]","Tekken 3 (BR) [19280]","psx",
"Spider-Man (BR) [19358].chd","SPIDER-MAN (BR) [19358]","SPIDER-MAN (BR) [19358]","psx",
"Silent Hill (BR) [19265].chd","SILENT HILL (BR) [19265]","SILENT HILL (BR) [19265]","psx",
"Resident Evil 3 - Nemesis (BR) [19258].chd","RESIDENT EVIL 3 - NEMESIS (BR) [19258]","RESIDENT EVIL 3 - NEMESIS (BR) [19258]","psx",
"Resident Evil 2 [19259].PBP","RESIDENT EVIL 2 [19259]","RESIDENT EVIL 2 [19259]","psx",
"Rayman (BR) [19275].chd","RAYMAN (BR) [19275]","RAYMAN (BR) [19275]","psx",
"Rampage - World Tour (USA) [20243].chd","RAMPAGE - WORLD TOUR (USA) [20243]","RAMPAGE - WORLD TOUR (USA) [20243]","psx",
"Panzer Bandit (BR) [20329].chd","Panzer Bandit (BR) [20329]","Panzer Bandit (BR) [20329]","psx",
"Oddworld - Abe's Oddysee (USA) [19264].chd","ODDWORLD - ABE'S ODDYSEE (USA) [19264]","ODDWORLD - ABE'S ODDYSEE (USA) [19264]","psx",
"Oddworld - Abe's Exoddus (USA) [19313].PBP","ODDWORLD - ABE'S EXODDUS (USA) [19313]","ODDWORLD - ABE'S EXODDUS (USA) [19313]","psx",
"N2o - Nitrous Oxide (USA) [19980].chd","N2O - NITROUS OXIDE (USA) [19980]","N2O - NITROUS OXIDE (USA) [19980]","psx",
"Mortal Kombat 4 (BR) [19487].chd","MORTAL KOMBAT 4 (BR) [19487]","MORTAL KOMBAT 4 (BR) [19487]","psx",
"Metal Slug X (USA) [19476].chd","METAL SLUG X (USA) [19476]","METAL SLUG X (USA) [19476]","psx",
