"Ardy Lightfoot [2279].7z","ARDY LIGHTFOOT","ARDY LIGHTFOOT","snes",
"Axelay.Sfc.Sfc (USA) [2152].sfc.7z","AXELAY.SFC (USA).SFC","AXELAY.SFC (USA).SFC","snes",
"Bonkers.Sfc.Sfc (BR) [2662].sfc.7z","BONKERS.SFC (BR).SFC","BONKERS.SFC (BR).SFC","snes",
"Contra III - The Alien Wars.Sfc [19017].sfc.7z","CONTRA III - THE ALIEN WARS [19017].SFC","CONTRA III - THE ALIEN WARS [19017].SFC","snes",
"Donkey Kong Country 2 - Diddy's Kong Quest.Sfc [2169].sfc.7z","DONKEY KONG COUNTRY 2 - DIDDY'S KONG QUEST [2169].SFC","DONKEY KONG COUNTRY 2 - DIDDY'S KONG QUEST [2169].SFC","snes",
"Donkey Kong Country 3.Sfc.Sfc (BR) [2181].sfc.7z","DONKEY KONG COUNTRY 3.SFC (BR).SFC","DONKEY KONG COUNTRY 3.SFC (BR).SFC","snes",
"Donkey Kong Country.Smc [2149].smc.7z","DONKEY KONG COUNTRY [2149].SMC","DONKEY KONG COUNTRY [2149].SMC","snes",
"Earthworm Jim 2.Sfc [2269].sfc.7z","EARTHWORM JIM 2 [2269].SFC","EARTHWORM JIM 2 [2269].SFC","snes",
"Final Fight 2.Smc [2386].smc.7z","FINAL FIGHT 2 [2386].SMC","FINAL FIGHT 2 [2386].SMC","snes",
"Final Fight 3.Smc [2284].smc.7z","FINAL FIGHT 3 [2284].SMC","FINAL FIGHT 3 [2284].SMC","snes",
"Flashback.Smc [2229].smc.7z","FLASHBACK [2229].SMC","FLASHBACK [2229].SMC","snes",
"Ganbare Goemon 2.Sfc.Sfc (BR) [29433].sfc.7z","GANBARE GOEMON 2.SFC (BR).SFC","GANBARE GOEMON 2.SFC (BR).SFC","snes",
"Ganbare Goemon Yukihime Kyūshutsu Emaki.Smc.Smc (BR) [29431].smc.7z","GANBARE GOEMON YUKIHIME KYŪSHUTSU EMAKI.SMC (BR).SMC","GANBARE GOEMON YUKIHIME KYŪSHUTSU EMAKI.SMC (BR).SMC","snes",
"Goof Troop.Smc [2210].smc.7z","GOOF TROOP [2210].SMC","GOOF TROOP [2210].SMC","snes",
"Gradius Iii.Smc [2361].smc.7z","GRADIUS III [2361].SMC","GRADIUS III [2361].SMC","snes",
"Great Battle 2 - Last Fighter Twin, The.Smc [38818].smc.7z","GREAT BATTLE 2 - LAST FIGHTER TWIN, THE [38818].SMC","GREAT BATTLE 2 - LAST FIGHTER TWIN, THE [38818].SMC","snes",
"Killer Instinct.Sfc [2155].sfc.7z","KILLER INSTINCT [2155].SFC","KILLER INSTINCT [2155].SFC","snes",
"King Of Dragons.Sfc [2415].sfc.7z","KING OF DRAGONS [2415].SFC","KING OF DRAGONS [2415].SFC","snes",
"Kishin Douji Zenki - Battle Raiden.Sfc [19109].sfc.7z","KISHIN DOUJI ZENKI - BATTLE RAIDEN [19109].SFC","KISHIN DOUJI ZENKI - BATTLE RAIDEN [19109].SFC","snes",
"Knights Of The Round [2346].7z","KNIGHTS OF THE ROUND [2346]","KNIGHTS OF THE ROUND [2346]","snes",
"Legend Of Zelda, The - A Link To The Past.Smc (BR) [2138].smc.7z","LEGEND OF ZELDA, THE - A LINK TO THE PAST (BR).SMC","LEGEND OF ZELDA, THE - A LINK TO THE PAST (BR).SMC","snes",
"Magical Pop'n [19125].7z","MAGICAL POP'N [19125]","MAGICAL POP'N [19125]","snes",
"Mega Man X.Sfc [2159].sfc.7z","MEGA MAN X [2159].SFC","MEGA MAN X [2159].SFC","snes",
"Mega Man X2.Smc [2209].smc.7z","MEGA MAN X2 [2209].SMC","MEGA MAN X2 [2209].SMC","snes",
"Mega Man X3.Smc [2191].smc.7z","MEGA MAN X3 [2191].SMC","MEGA MAN X3 [2191].SMC","snes",
"Mortal Kombat.Sfc [2178].sfc.7z","MORTAL KOMBAT [2178].SFC","MORTAL KOMBAT [2178].SFC","snes",
"Papuwa-Kun [59600].7z","PAPUWA-KUN","PAPUWA-KUN","snes",
"Prince Of Persia.Smc [2231].smc.7z","PRINCE OF PERSIA [2231].SMC","PRINCE OF PERSIA [2231].SMC","snes",
"Shin Kidou Senki Gundam W - Endless Duel.Smc [64980].smc.7z","SHIN KIDOU SENKI GUNDAM W - ENDLESS DUEL [64980].SMC","SHIN KIDOU SENKI GUNDAM W - ENDLESS DUEL [64980].SMC","snes",
"Skyblazer.Sfc [2242].sfc.7z","SKYBLAZER [2242].SFC","SKYBLAZER [2242].SFC","snes",
"Sonic Blast Man Ii.Smc [2504].smc.7z","SONIC BLAST MAN II [2504].SMC","SONIC BLAST MAN II [2504].SMC","snes",
"Sonic Blast Man.Smc [88761].smc.7z","SONIC BLAST MAN [88761].SMC","SONIC BLAST MAN [88761].SMC","snes",
"Sparkster.Sfc [2418].sfc.7z","SPARKSTER [2418].SFC","SPARKSTER [2418].SFC","snes",
"Starwing.Smc [19196].smc.7z","STARWING [19196].SMC","STARWING [19196].SMC","snes",
"Street Fighter Alpha 2.Sfc [2215].sfc.7z","STREET FIGHTER ALPHA 2 [2215].SFC","STREET FIGHTER ALPHA 2 [2215].SFC","snes",
"Street Fighter II Turbo.Sfc [2176].sfc.7z","STREET FIGHTER II TURBO [2176].SFC","STREET FIGHTER II TURBO [2176].SFC","snes",
"Sunset Riders.Sfc [2292].sfc.7z","SUNSET RIDERS [2292].SFC","SUNSET RIDERS [2292].SFC","snes",
"Super Adventure Island Ii.Sfc [2528].sfc.7z","SUPER ADVENTURE ISLAND II [2528].SFC","SUPER ADVENTURE ISLAND II [2528].SFC","snes",
"Super Adventure Island.Sfc [2336].sfc.7z","SUPER ADVENTURE ISLAND [2336].SFC","SUPER ADVENTURE ISLAND [2336].SFC","snes",
"Super Aleste.Sfc [2241].sfc.7z","SUPER ALESTE [2241].SFC","SUPER ALESTE [2241].SFC","snes",
"Super Bomberman 2.Smc [2322].smc.7z","SUPER BOMBERMAN 2 [2322].SMC","SUPER BOMBERMAN 2 [2322].SMC","snes",
"Super Castlevania Iv.Smc [2173].smc.7z","SUPER CASTLEVANIA IV [2173].SMC","SUPER CASTLEVANIA IV [2173].SMC","snes",
"Super Ninja-Kun [65133].7z","SUPER NINJA-KUN [65133]","SUPER NINJA-KUN [65133]","snes",
"Super R-Type.Smc [2157].smc.7z","SUPER R-TYPE [2157].SMC","SUPER R-TYPE [2157].SMC","snes",
"The Combatribes.Sfc [2876].sfc.7z","THE COMBATRIBES [2876].SFC","THE COMBATRIBES [2876].SFC","snes",
"The Death And Return Of Superman.Sfc [2409].sfc.7z","THE DEATH AND RETURN OF SUPERMAN [2409].SFC","THE DEATH AND RETURN OF SUPERMAN [2409].SFC","snes",
"The Great Battle 3.Smc [38819].smc.7z","THE GREAT BATTLE 3 [38819].SMC","THE GREAT BATTLE 3 [38819].SMC","snes",
"The Great Battle 4.Smc [38820].smc.7z","THE GREAT BATTLE 4 [38820].SMC","THE GREAT BATTLE 4 [38820].SMC","snes",
"The Great Battle 5.Smc [38822].smc.7z","THE GREAT BATTLE 5 [38822].SMC","THE GREAT BATTLE 5 [38822].SMC","snes",
"The Lion King.Smc [2189].smc.7z","THE LION KING [2189].SMC","THE LION KING [2189].SMC","snes",
"The Magical Quest Starring Mickey Mouse.Smc [2237].smc.7z","THE MAGICAL QUEST STARRING MICKEY MOUSE [2237].SMC","THE MAGICAL QUEST STARRING MICKEY MOUSE [2237].SMC","snes",
"Ultimate Mortal Kombat 3.Sfc [2196].sfc.7z","ULTIMATE MORTAL KOMBAT 3 [2196].SFC","ULTIMATE MORTAL KOMBAT 3 [2196].SFC","snes",
"Wild Guns.Sfc [2252].sfc.7z","WILD GUNS [2252].SFC","WILD GUNS [2252].SFC","snes",
"Worms.Smc [2318].smc.7z","WORMS [2318].SMC","WORMS [2318].SMC","snes",
"Zombies.Sfc [19248].sfc.7z","ZOMBIES [19248].SFC","ZOMBIES [19248].SFC","snes",
