path;name;Adult;Date;arcadesystemname;hidden;core;description;developer;emulator;famille;favorite;gameidSS;gametime;genre;genreid;hash;kid;lang;lastplayed;md5;mode;playcount;players;publisher;rating;ratio;region;rotation;sortname;tags;temporary;bezel;boxback;boxart;cartridge;extra1;fanart;image;magazine;manual;maps;marquee;mix;roundwheel;screenshot;titleshot;thumbnail;video;wheel;roundwheel
./Blazing Chrome (BR) v28.09.2019/Blazing Chrome (BR).pc;BLAZING CHROME (BR);false;20190711T000000;;false;;AVANCE POR 5 AMBIENTES APOCALÍPTICOS COM CENTENAS DE ROBÔS-INIMIGOS PARA EXPLODIR EM PEDAÇOS. ABRA CAMINHO ATRAVÉS DAS LINHAS INIMIGAS E TENTE DERROTAR UM BANDO DE CHEFES MECÂNICOS USANDO HOVERBIKES, ENORMES ARMADURAS E TODO UM ARSENAL DE ARMAS INCRÍVEIS.;ALLONE WORKS;;;false;251501;0;TIRO / RUN AND GUN, TIRO;256;;false;;;;Multijogador cooperativo;0;1-2;ARCADE CREW, THE;0,60;;;;;;;;;;;./media/extras/Blazing Chrome (BR)-extra1.png;./media/fanart/Blazing Chrome (BR)-fanart.jpg;./media/image/Blazing Chrome (BR)-image.png;;;;;./media/image/Blazing Chrome (BR)-image.png;;./media/screenshots/Blazing Chrome (BR)-screenshot.jpg;;;./media/videos/Blazing Chrome (BR)-video.mp4;;
./Blur (BR)/Blur (BR).pc;BLUR (BR);false;20100525T000000;;false;;BLUR MISTURA CORRIDAS E COMBATE MOTORIZADO. O JOGO PERMITE-TE CONTROLAR MODELOS DE CARROS REAIS MODIFICADOS PARA O SISTEMA DE CORRIDAS. CADA MODELO É CARACTERIZADO POR CINCO CRITÉRIOS: VELOCIDADE MÁXIMA, ACELERAÇÃO, ADERÊNCIA, CONTROLO E SAÚDE (RESISTÊNCIA AO CHOQUE). AS CORRIDAS DESENROLAM-SE EM VÁRIOS AMBIENTES URBANOS OU SEMI-URBANOS (CIDADE, DOCAS, PISTAS DE AEROPORTO, ETC.). DEPENDENDO DO MODO DE JOGO, PODES CORRER SOZINHO OU EM ESTAFETAS. UTILIZANDO BÓNUS, FAZENDO ACROBACIAS E DOMINANDO, PODES GANHAR "PONTOS DE FÃ", QUE TE DÃO ACESSO A NOVOS MODELOS E AJUDAM A TUA CARREIRA.;BIZARRE CREATIONS;;;false;280340;0;CORRIDA, PILOTAGEM;1537;;false;;;;;0;1-4;ACTIVISION;;;;;;;;;;;;./media/extras/Blur (BR)-extra1.png;./media/fanart/Blur (BR)-fanart.jpg;./media/image/Blur (BR)-image.png;;;;;./media/image/Blur (BR)-image.png;;./media/screenshots/Blur (BR)-screenshot.jpg;;;./media/videos/Blur (BR)-video.mp4;;
./Broforce (BR)/Broforce (BR).pc;BROFORCE (BR);false;20140407T000000;;false;;BROFORCE É UM JOGO 2D QUE PARODIA OS HERÓIS E MUNDOS DOS FILMES DE AÇÃO DOS ANOS 80 E 90. BROFORCE CONSISTE EM NAVEGAR POR NÍVEIS AMPLAMENTE DESTRUTÍVEIS PARA CHEGAR A UM HELICÓPTERO, GERALMENTE DEPOIS DE MATAR UM CHEFE OU UM DEMÔNIO VESTIDO DE HOMEM DE NEGÓCIOS. O JOGADOR CONTROLA UM PERSONAGEM SELECIONADO ALEATORIAMENTE ENTRE OS DISPONÍVEIS. AO LONGO DO NÍVEL, O JOGADOR PODE LIBERTAR PRISIONEIROS, O QUE LHE PERMITE RESSUSCITAR UM ALIADO OU, SE NECESSÁRIO, RECUPERAR UMA VIDA E MUDAR O PERSONAGEM QUE ESTÁ CONTROLANDO. CADA PERSONAGEM É JOGADO À SUA MANEIRA, COM VARIAÇÕES DE VELOCIDADE DE MOVIMENTO, SALTO, FOGO PRINCIPAL, FOGO SECUNDÁRIO E ATAQUE CORPO A CORPO.;FREE LIVES;;;false;281416;0;TIRO / RUN AND GUN, TIRO;256;;false;;;;;0;1-4;DEVOLVER DIGITAL;;;;;;;;;;;;./media/extras/Broforce (BR)-extra1.png;./media/fanart/Broforce (BR)-fanart.jpg;./media/image/Broforce (BR)-image.png;;;;;./media/image/Broforce (BR)-image.png;;./media/screenshots/Broforce (BR)-screenshot.jpg;./media/image/Broforce (BR)-titleshot.jpg;;./media/videos/Broforce (BR)-video.mp4;;
./Castle Crashers (PT) 3.1/Castle Crashers (PT).pc;CASTLE CRASHERS (PT);false;20120926T000000;;false;;CASTLE CRASHERS É UM BEAT-EM-UP DE ROLAGEM LATERAL ENVOLVENDO CAVALEIROS QUE PRECISAM RECUPERAR UMA JOIA ROUBADA E MUITAS PRINCESAS PARA SEU REI. USANDO UM ESTILO DESENHADO À MÃO COMO VISTO EM ALIEN HOMINID, OS JOGADORES PODEM INICIALMENTE ESCOLHER ENTRE QUATRO CAVALEIROS DIFERENTES COM ESTILOS DE LUTA SEPARADOS, JUNTO COM O ALIENÍGENA DE ALIEN HOMINID. OUTROS PERSONAGENS (20 NO TOTAL) SÃO DESBLOQUEADOS OU DESCOBERTOS POSTERIORMENTE NO DECORRER DO JOGO. EMBORA O JOGO POSSA SER JOGADO POR UM ÚNICO JOGADOR, ATÉ QUATRO JOGADORES PODEM LUTAR JUNTOS NA MESMA TELA NOS MODOS DE JOGO COOPERATIVOS, TANTO OFFLINE QUANTO ONLINE. ALGUNS ELEMENTOS NOS NÍVEIS SÓ PODEM SER ATIVADOS OU INTERAGIDOS POR PERSONAGENS ESPECÍFICOS.;THE BEHEMOTH;;;false;282982;0;BRIGA DE RUA;263;;false;pt;;;;0;1-4;THE BEHEMOTH;;;;;;;;;;;;./media/extras/Castle Crashers (PT)-extra1.png;./media/fanart/Castle Crashers (PT)-fanart.jpg;./media/image/Castle Crashers (PT)-image.png;;;;;./media/image/Castle Crashers (PT)-image.png;;./media/screenshots/Castle Crashers (PT)-screenshot.jpg;./media/image/Castle Crashers (PT)-titleshot.jpg;;./media/videos/Castle Crashers (PT)-video.mp4;;
./Castle of Illusion (BR)/Castle Of Illusion (BR).pc;CASTLE OF ILLUSION (BR);false;20130904T000000;;false;;CASTLE OF ILLUSION STARRING MICKEY MOUSE, É UM REMAKE DO JOGO GENESIS DE MESMO NOME. MICKEY E MINNIE ESTÃO FORA PARA UM PIQUENIQUE QUANDO MINNIE É SEQUESTRADA PELA BRUXA MIZRABEL. AGORA MICKEY TEM QUE VIAJAR POR CINCO MUNDOS PARA RESGATÁ-LA. ESTE É UM JOGO DE PLATAFORMA SIDE-SCROLLING EM QUE MICKEY SALTA SOBRE OBSTÁCULOS E EVITA INIMIGOS PARA PERMANECER VIVO. EMBORA A MAIOR PARTE DO JOGO SEJA PASSADA EM UMA VISÃO 2D TRADICIONAL, PARA ALGUMAS SEÇÕES (POR EXEMPLO, CHEFES OU CERTOS QUEBRA-CABEÇAS) ELE MUDA PARA UM AMBIENTE 3D. MICKEY PODE DERROTAR INIMIGOS SALTANDO SOBRE ELES OU USANDO PROJÉTEIS QUE PEGA NO CAMINHO. OS NÍVEIS SÃO VAGAMENTE BASEADOS NOS ANTIGOS, MAS APRESENTAM VÁRIAS DIFERENÇAS DE DESIGN DE NÍVEL, NOVOS SETPIECES E LUTAS DE CHEFE APRIMORADAS. ALÉM DE VENCER O JOGO, OS JOGADORES PODEM EXPLORAR OS NÍVEIS EM BUSCA DE SEGREDOS (DESBLOQUEAR ROUPAS ADICIONAIS) OU ENFRENTAR OS NÍVEIS NO MODO DE ATAQUE TEMPORAL.;SEGA;;;false;251497;0;AÇÃO, PLATAFORMA / CORRE E PULA COM ROLAGEM, PLATAFORMA;257;;false;;;;Jogador individual;0;1;SEGA;0,80;;;;;;;;;;;./media/extras/Castle Of Illusion (BR)-extra1.png;./media/fanart/Castle Of Illusion (BR)-fanart.jpg;./media/image/Castle Of Illusion (BR)-image.png;;;;;./media/image/Castle Of Illusion (BR)-image.png;;./media/screenshots/Castle Of Illusion (BR)-screenshot.jpg;./media/image/Castle Of Illusion (BR)-titleshot.jpg;;./media/videos/Castle Of Illusion (BR)-video.mp4;;
./Charlie Murder (BR)/Charlie Murder (BR).pc;CHARLIE MURDER (BR);true;20170512T000000;;false;;CHARLIE MURDER É UM BEAT 'EM UP, O JOGADOR CONTROLA CINCO PERSONAGENS DIFERENTES, TODOS MEMBROS DA BANDA DE ROCK CHARLIE MURDER. OS MEMBROS SÃO : SKELEKITTEN, LESTER DETH, TOMMY HOMICIDE, THE REXICUTIONER, E O PRÓPRIO CHARLIE MURDER. DEPOIS QUE CHARLIE EXPULSOU PAUL, ELE FORMOU SUA PRÓPRIA BANDA, GORE QUAFFER. PAUL, AGORA COM O NOME DE LORD MORTIMER, COMEÇA A TRABALHAR COM UM DEMÔNIO PARA CRIAR UM EXÉRCITO PARA DESTRUIR O GRUPO CHARLIE MURDER. OS CINCO PERSONAGENS JOGÁVEIS ​​TÊM HABILIDADES DIFERENTES, PRINCIPALMENTE DEVIDO À SUA ANAR-CHI, UMA HABILIDADE MÁGICA ESPECIAL. O JOGO APRESENTA MUITOS CHEFES E MINI-CHEFES DIFERENTES, BEM COMO TODOS OS TIPOS DE INIMIGOS PADRÃO COMO ZUMBIS, TUBARÕES, YETIS E BRUXAS. O JOGO INCLUI NÍVEIS NORMAIS DE COMBATE, MINI-JOGOS E VÁRIOS NÍVEIS ESPECIAIS (ONDE O JOGADOR PODE DIRIGIR E VOAR).;SKA STUDIOS;;;false;283648;0;BRIGA DE RUA;263;;false;;;;Multijogador cooperativo;0;1-4;SKA STUDIOS;;;;;;;;;;;;./media/extras/Charlie Murder (BR)-extra1.png;./media/fanart/Charlie Murder (BR)-fanart.jpg;./media/image/Charlie Murder (BR)-image.png;;;;;./media/image/Charlie Murder (BR)-image.png;;./media/screenshots/Charlie Murder (BR)-screenshot.jpg;;;./media/videos/Charlie Murder (BR)-video.mp4;;
./Crash Bandicoot N Sane Trilogy (BR)/Crash Bandicoot N Sane Trilogy (BR).pc;CRASH BANDICOOT N SANE TRILOGY (BR);false;20180629T000000;;false;;SEU MARSUPIAL FAVORITO, CRASH BANDICOOT™, ESTÁ DE VOLTA! ELE ESTÁ APRIMORADO, ENCANTADO E PRONTO PARA DANÇAR COM A COLEÇÃO DE JOGOS N. SANE TRILOGY. AGORA VOCÊ PODE EXPERIMENTAR CRASH BANDICOOT™ COMO NUNCA ANTES. GIRE, PULE, BATA E REPITA ENQUANTO ENFRENTA DESAFIOS E AVENTURAS ÉPICAS NOS TRÊS JOGOS QUE DERAM INÍCIO A TUDO, CRASH BANDICOOT™, CRASH BANDICOOT™ 2: CORTEX STRIKES BACK E CRASH BANDICOOT™: WARPED. REVIVA TODOS OS SEUS MOMENTOS FAVORITOS DO CRASH EM SUA GLÓRIA GRÁFICA TOTALMENTE REMASTERIZADA E PREPARE-SE PARA COLOCAR UM POUCO DE UMPH NO SEU WUMP!;NAUGHTY DOG;;;false;286680;0;PLATAFORMA / CORRE E PULA, PLATAFORMA;257;;false;;;;;0;1;ACTIVISION;;;;;;;;;;;;./media/extras/Crash Bandicoot N Sane Trilogy (BR)-extra1.png;./media/fanart/Crash Bandicoot N Sane Trilogy (BR)-fanart.jpg;./media/image/Crash Bandicoot N Sane Trilogy (BR)-image.png;;;;;./media/image/Crash Bandicoot N Sane Trilogy (BR)-image.png;;./media/screenshots/Crash Bandicoot N Sane Trilogy (BR)-screenshot.png;./media/image/Crash Bandicoot N Sane Trilogy (BR)-titleshot.jpg;;./media/videos/Crash Bandicoot N Sane Trilogy (BR)-video.mp4;;
./Cuphead The Delicious Last Course (BR)/Cuphead The Delicious Last Course (BR).pc;CUPHEAD THE DELICIOUS LAST COURSE (BR);false;20170929T000000;;false;;CUPHEAD É UM JOGO CLÁSSICO DE CORRIDA E TIRO FORTEMENTE FOCADO EM BATALHAS CONTRA CHEFES. INSPIRADO NOS DESENHOS ANIMADOS DA DÉCADA DE 1930, O VISUAL E O ÁUDIO SÃO CUIDADOSAMENTE CRIADOS COM AS MESMAS TÉCNICAS DA ÉPOCA, OU SEJA, ANIMAÇÃO CELULÓSICA TRADICIONAL DESENHADA À MÃO, FUNDOS EM AQUARELA E GRAVAÇÕES ORIGINAIS DE JAZZ. JOGUE COMO CUPHEAD OU MUGMAN (NO MODO SINGLE PLAYER OU LOCAL CO-OP) ENQUANTO ATRAVESSA MUNDOS ESTRANHOS, ADQUIRE NOVAS ARMAS, APRENDE SUPER-MOVIMENTOS PODEROSOS E DESCOBRE SEGREDOS ESCONDIDOS ENQUANTO TENTA PAGAR SUA DÍVIDA COM O DIABO!;STUDIOMDHR;;;false;251507;0;AÇÃO, TIRO / RUN AND GUN, TIRO;256;;false;;;;Multijogador cooperativo;0;1-2;STUDIOMDHR;0,80;;;;;;;;;;;./media/extras/Cuphead The Delicious Last Course (BR)-extra1.png;./media/fanart/Cuphead The Delicious Last Course (BR)-fanart.jpg;./media/image/Cuphead The Delicious Last Course (BR)-image.png;;;;;./media/image/Cuphead The Delicious Last Course (BR)-image.png;;./media/screenshots/Cuphead The Delicious Last Course (BR)-screenshot.jpg;./media/image/Cuphead The Delicious Last Course (BR)-titleshot.jpg;;./media/videos/Cuphead The Delicious Last Course (BR)-video.mp4;;
./FightN Rage (BR)/Fight N Rage (BR).pc;FIGHT N RAGE (BR);false;20170919T000000;;false;;DESCRIÇÃO DA LOJA STEAM (DO AD BLURBS)DESCRIÇÃO FIGHT’N RAGE É UM NOVO BEAT’EM UP DE ROLAGEM LATERAL DA VELHA ESCOLA. INSPIRADO NOS CLÁSSICOS DA “ERA DE OURO” E COM UM ESTILO DE ARTE QUE IMITA A ESTÉTICA DAS JOIAS DOS FLIPERAMAS DOS ANOS 90, ESTE JOGO HOMENAGEIA TODOS OS RECURSOS CLÁSSICOS DE JOGABILIDADE QUE FAZEM DESTE GÊNERO UM DOS MELHORES DE SUA ÉPOCA!DETALHES GÊNERO: BEAT'EM UP / BRAWLER DE ROLAGEM LATERAL 2D CLÁSSICO. NÚMERO DE JOGADORES: DE UM A TRÊS JOGADORES NO MODO COOPERATIVO LOCAL.;SEBA GAMES;;;false;298318;0;BRIGA DE RUA;263;;false;;;;;0;1-3;SEBA GAMES;;;;;;;;;;;;./media/extras/Fight N Rage (BR)-extra1.png;./media/fanart/Fight N Rage (BR)-fanart.jpg;./media/image/Fight N Rage (BR)-image.png;;;;;./media/image/Fight N Rage (BR)-image.png;;./media/screenshots/Fight N Rage (BR)-screenshot.jpg;./media/image/Fight N Rage (BR)-titleshot.jpg;;./media/videos/Fight N Rage (BR)-video.mp4;;
./Guacamelee Super Turbo Championship Edition (BR)/Guacamelee Super Turbo Championship Edition (BR).pc;GUACAMELEE SUPER TURBO CHAMPIONSHIP EDITION (BR);false;20140821T000000;;false;;GUACAMELEE! STCE É UM JOGO DE PLATAFORMA DE AÇÃO NA TRADIÇÃO DE METROIDVANIA, AMBIENTADO NUM MUNDO MÁGICO INSPIRADO NO FOLCLORE TRADICIONAL MEXICANO. PREPARA-TE PARA... - AÇÃO E COMBATE: MAIS MOVIMENTOS, INCLUINDO O INTENSO E O PONTAPÉ DE GALO. - JOGO DE PLATAFORMAS ENTRE O MUNDO DOS VIVOS E O MUNDO DOS MORTOS. - MOVIMENTOS QUE TAMBÉM PODEM SER USADOS PARA SE DESLOCAR - CIDADES ANIMADAS, FLORESTAS SOMBRIAS E VULCÕES ARDENTES - INÚMEROS BOSSES, UMA SÉRIE DE INIMIGOS E NOVOS INIMIGOS DE ELITE - TRAJES EXTRAVAGANTES QUE MUDAM NÃO SÓ A APARÊNCIA DO JOGADOR, MAS TAMBÉM AS SUAS CARACTERÍSTICAS.;DRINKBOX STUDIOS;;;false;303608;0;PLATAFORMA / COMBATE COM ROLAGEM, PLATAFORMA;257;;false;;;;;0;1-4;DRINKBOX STUDIOS;;;;;;;;;;;;./media/extras/Guacamelee Super Turbo Championship Edition (BR)-extra1.png;./media/fanart/Guacamelee Super Turbo Championship Edition (BR)-fanart.jpg;./media/image/Guacamelee Super Turbo Championship Edition (BR)-image.png;;;;;./media/image/Guacamelee Super Turbo Championship Edition (BR)-image.png;;./media/screenshots/Guacamelee Super Turbo Championship Edition (BR)-screenshot.jpg;;;./media/videos/Guacamelee Super Turbo Championship Edition (BR)-video.mp4;;
