"Blazing Chrome (BR) [251501].pc","BLAZING CHROME (BR)","BLAZING CHROME (BR)","windows",
"Broforce (BR) [281416].pc","BROFORCE (BR)","BROFORCE (BR)","windows",
"Castle Crashers (PT) [282982].pc","CASTLE CRASHERS (PT)","CASTLE CRASHERS (PT)","windows",
"Castle Of Illusion (BR) [251497].pc","CASTLE OF ILLUSION (BR)","CASTLE OF ILLUSION (BR)","windows",
"Charlie Murder (BR) [283648].pc","CHARLIE MURDER (BR)","CHARLIE MURDER (BR)","windows",
"Crash Bandicoot N Sane Trilogy (BR) [286680].pc","CRASH BANDICOOT N SANE TRILOGY (BR)","CRASH BANDICOOT N SANE TRILOGY (BR)","windows",
"Cuphead The Delicious Last Course (BR) [251507].pc","CUPHEAD THE DELICIOUS LAST COURSE (BR)","CUPHEAD THE DELICIOUS LAST COURSE (BR)","windows",
"Fight N Rage (BR) [298318].pc","FIGHT N RAGE (BR)","FIGHT N RAGE (BR)","windows",
"Guacamelee Super Turbo Championship Edition (BR) [303608].pc","GUACAMELEE SUPER TURBO CHAMPIONSHIP EDITION (BR)","GUACAMELEE SUPER TURBO CHAMPIONSHIP EDITION (BR)","windows",
"Mayhembrawler (BR) [317418].pc","MAYHEMBRAWLER (BR)","MAYHEMBRAWLER (BR)","windows",
"Mortal Kombat Complete Edition (BR) [319968].pc","MORTAL KOMBAT COMPLETE EDITION (BR)","MORTAL KOMBAT COMPLETE EDITION (BR)","windows",
"Mother Russia Bleeds (BR) [320062].pc","MOTHER RUSSIA BLEEDS (BR)","MOTHER RUSSIA BLEEDS (BR)","windows",
"Never Alone (BR) [322492].pc","NEVER ALONE (BR)","NEVER ALONE (BR)","windows",
"Phantom Breaker - Battle Grounds Ultimate (BR) [81459].pc","PHANTOM BREAKER - BATTLE GROUNDS ULTIMATE (BR)","PHANTOM BREAKER - BATTLE GROUNDS ULTIMATE (BR)","windows",
"Rayman Origins (BR) [330850].pc","RAYMAN ORIGINS (BR)","RAYMAN ORIGINS (BR)","windows",
"Shank 2 [337076].pc","SHANK 2","SHANK 2","windows",
"Skullgirls 2Nd Encore (BR) [338618].pc","SKULLGIRLS 2ND ENCORE (BR)","SKULLGIRLS 2ND ENCORE (BR)","windows",
"Street Fighter X Tekken (BR) [342904].pc","STREET FIGHTER X TEKKEN (BR)","STREET FIGHTER X TEKKEN (BR)","windows",
"Streets Of Rage 4 (BR) [250132].pc","STREETS OF RAGE 4 (BR)","STREETS OF RAGE 4 (BR)","windows",
"Teenage Mutant Ninja Turtles - Shredders (BR) [502175].pc","TEENAGE MUTANT NINJA TURTLES - SHREDDERS (BR)","TEENAGE MUTANT NINJA TURTLES - SHREDDERS (BR)","windows",
"Towerfall - Ascension [348074].pc","TOWERFALL - ASCENSION","TOWERFALL - ASCENSION","windows",
"Tunic (BR).pc","TUNIC (BR)","TUNIC (BR)","windows",
"Wulverblade (USA) [355028].pc","WULVERBLADE (USA)","WULVERBLADE (USA)","windows",
